replicate,chrom,q,coverage,tau,f1,auc
88,18,-0.025741726099999997,0.9041322314049587,5.5,0.0,0.5328947368421053
88,21,-0.025741726099999997,0.9041322314049587,3.0,0.0,0.40926051560379917
89,13,-0.0270976426,0.8959349593495934,5.5,0.0,0.30969626168224296
89,18,-0.0270976426,0.8959349593495934,5.0,0.0,0.5077655677655678
89,21,-0.0270976426,0.8959349593495934,3.0,0.0,0.37597042513863216
90,13,-0.028723326,0.9032786885245901,3.5,0.0,0.4635541367384942
90,18,-0.028723326,0.9032786885245901,5.5,0.0,0.5449838187702265
90,21,-0.028723326,0.9032786885245901,3.0,0.0,0.31330868761552677
91,13,-0.0248312732,0.8981636060100167,3.5,0.32,0.6177753544165758
91,18,-0.0248312732,0.8981636060100167,5.0,0.0,0.6229930221529707
91,21,-0.0248312732,0.8981636060100167,3.0,0.0,0.46351561152320164
92,13,-0.02665626,0.9008264462809917,5.5,0.0,0.4871312897628687
92,18,-0.02665626,0.9008264462809917,5.5,0.0,0.5963680926916222
92,21,-0.02665626,0.9008264462809917,3.0,0.0,0.5598230912476723
93,13,-0.028799272,0.8935108153078203,5.5,0.0,0.4943907156673114
93,18,-0.028799272,0.8935108153078203,5.5,0.0,0.5401234567901235
93,21,-0.028799272,0.8935108153078203,3.0,0.0,0.5035509423654739
94,13,-0.0245863663,0.9030694668820679,3.5,0.09523809523809523,0.4985583224115334
94,18,-0.0245863663,0.9030694668820679,5.5,0.0,0.5570583262890956
94,21,-0.0245863663,0.9030694668820679,3.0,0.0,0.8022905364677517
95,13,-0.0263791055,0.8949096880131363,5.5,0.0,0.4881624966370729
95,18,-0.0263791055,0.8949096880131363,5.5,0.0,0.6011214953271029
95,21,-0.0263791055,0.8949096880131363,3.0,0.0,0.562429906542056
96,13,-0.027175497,0.8984771573604061,5.5,0.0,0.3880998080614203
96,18,-0.027175497,0.8984771573604061,5.0,0.0,0.5923543689320389
96,21,-0.027175497,0.8984771573604061,3.0,0.0,0.5583173996175909
97,13,-0.026564639,0.8936507936507937,5.5,0.0,0.5472727272727272
97,18,-0.026564639,0.8936507936507937,5.5,0.0,0.6066790352504638
97,21,-0.026564639,0.8936507936507937,3.0,0.0,0.3763175230566535
98,13,-0.0266729885,0.905448717948718,3.5,0.0,0.4584873690696241
98,18,-0.0266729885,0.905448717948718,5.5,0.0,0.5923172242874845
98,21,-0.0266729885,0.905448717948718,3.0,0.0,0.3935340022296544
99,13,-0.027004345,0.8959044368600683,5.5,0.0,0.5139869281045751
99,18,-0.027004345,0.8959044368600683,5.5,0.0,0.5939719383336219
99,21,-0.027004345,0.8959044368600683,3.0,0.0,0.42367788461538464
100,13,-0.0263590227,0.8938906752411575,5.0,0.0,0.4561149182920401
100,18,-0.0263590227,0.8938906752411575,5.5,0.0,0.6287878787878788
100,21,-0.0263590227,0.8938906752411575,3.0,0.0,0.5819622181596588
101,13,-0.026404209,0.9001692047377327,3.5,0.0,0.5266624176758019
101,18,-0.026404209,0.9001692047377327,5.5,0.0,0.6105169340463458
101,21,-0.026404209,0.9001692047377327,3.0,0.0,0.5272529069767442
102,13,-0.0285609308,0.9008403361344538,5.5,0.0,0.3975826972010178
102,18,-0.0285609308,0.9008403361344538,5.5,0.0,0.5213307240704501
102,21,-0.0285609308,0.9008403361344538,3.0,0.0,0.4355052213560818
103,13,-0.0279208806,0.9003378378378378,5.5,0.0,0.42023809523809524
103,18,-0.0279208806,0.9003378378378378,5.0,0.0,0.5274002157497303
103,21,-0.0279208806,0.9003378378378378,3.0,0.0,0.5075443786982249
104,13,-0.024803009,0.8998357963875205,3.5,0.24,0.5745265151515151
104,18,-0.024803009,0.8998357963875205,5.5,0.0,0.5792582417582417
