replicate,K,mean_loss,boundaries,times,valid_time_separation
71,5,0.8378203002598079,31.0|32.0|33.5|35.0,10.0|12.3|16.1|19.7|25.0,True
72,1,8.699695140014603,,18.5,True
72,2,3.218795559756696,32.0,10.6|23.7,True
72,3,1.5655140540688457,31.5|33.5,10.1|15.3|25.0,True
72,4,1.016352988266481,31.5|33.0|35.0,10.1|14.9|19.1|25.0,True
72,5,0.7537447387146958,31.0|32.0|33.0|35.0,10.0|12.4|15.0|19.1|25.0,True
73,1,8.576173352103805,,19.3,True
73,2,3.475552514564149,33.0,12.5|25.0,True
73,3,1.7812994977968222,31.5|34.0,10.1|16.3|25.0,True
73,4,1.234399699910909,31.5|33.5|35.5,10.1|15.6|20.9|25.0,True
73,5,0.8353818761329906,31.0|32.0|34.0|35.5,10.0|12.4|16.6|21.1|25.0,True
74,1,8.349585052262062,,19.2,True
74,2,3.6072079624836504,32.0,10.5|23.2,True
74,3,1.639567166697009,31.5|34.5,10.1|17.7|25.0,True
74,4,1.0811409134184022,31.5|33.0|35.0,10.1|15.0|19.1|25.0,True
74,5,0.8638204179877743,31.0|32.5|33.5|35.0,10.0|13.2|16.1|19.1|25.0,True
75,1,8.092735077558334,,18.5,True
75,2,3.7900117848697974,33.0,13.1|25.0,True
75,3,1.6874956279111295,31.5|34.0,10.2|16.5|25.0,True
75,4,1.1948542496294932,31.5|33.5|35.0,10.2|16.1|19.7|25.0,True
75,5,0.8661034281539884,31.0|32.0|33.5|35.0,10.0|12.4|16.2|19.7|25.0,True
76,1,8.576392865016937,,19.7,True
76,2,3.6241229767519285,32.0,10.5|23.7,True
76,3,1.6632441158085367,31.5|34.5,10.1|17.9|25.0,True
76,4,1.0796995510682026,31.5|33.5|35.0,10.1|16.0|19.7|25.0,True
76,5,0.8378246174624231,31.0|32.5|33.5|35.0,10.0|13.9|16.1|19.7|25.0,True
77,1,8.231576643654119,,19.3,True
77,2,3.8156253485278167,33.5,14.7|25.0,True
77,3,1.8109485871389956,31.5|34.0,10.4|16.5|25.0,True
77,4,1.2839745460359695,31.5|33.5|35.0,10.4|16.1|19.7|25.0,True
77,5,0.938715988654498,31.0|32.0|33.5|35.0,10.0|12.5|16.2|19.7|25.0,True
78,1,8.26287574283625,,19.1,True
78,2,3.689364000714212,32.5,11.6|23.2,True
78,3,1.7237694655588351,31.5|34.0,10.3|16.2|25.0,True
78,4,1.2099290289229783,31.5|33.5|35.5,10.3|16.0|20.3|25.0,True
78,5,0.8873901018364616,31.0|32.0|33.5|35.5,10.0|12.5|16.0|20.3|25.0,True
79,1,7.85563366843163,,18.5,True
79,2,3.768928480898825,32.0,10.6|22.0,True
79,3,1.6976696822805222,31.5|34.0,10.0|16.5|25.0,True
