level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
pregnant,13,max_risk,0,26,1,120,0.0,0.9917355371900827,0.0,0.821917808219178,0.0,1.0,0.4624920534011443,5.5,5.0,5.5,339.0,-0.027362641,10
record,18,na,0,32,0,511,0.0,1.0,0.0,0.9410681399631676,0.0,0.8990066225165563,0.5722235812133073,5.5,5.5,5.5,393.0,-0.027362641,10
pregnant,18,conservative,0,37,0,110,0.0,1.0,0.0,0.7482993197278912,0.0,1.0,0.5056511056511056,5.5,5.5,5.5,393.0,-0.027362641,10
pregnant,18,majority,0,37,0,110,0.0,1.0,0.0,0.7482993197278912,0.0,1.0,0.5056511056511056,5.5,5.5,5.5,393.0,-0.027362641,10
pregnant,18,max_risk,0,37,0,110,0.0,1.0,0.0,0.7482993197278912,0.0,1.0,0.5056511056511056,5.5,5.5,5.5,393.0,-0.027362641,10
record,21,na,0,12,0,531,0.0,1.0,0.0,0.9779005524861878,0.0,0.8990066225165563,0.4436597614563716,3.0,3.0,3.0,144.0,-0.027362641,10
pregnant,21,conservative,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.36163101604278075,3.0,3.0,3.0,144.0,-0.027362641,10
pregnant,21,majority,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.36163101604278075,3.0,3.0,3.0,144.0,-0.027362641,10
pregnant,21,max_risk,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.36163101604278075,3.0,3.0,3.0,144.0,-0.027362641,10
record,13,na,0,6,1,531,0.0,0.9981203007518797,0.0,0.9888268156424581,0.0,0.8966666666666666,0.5250626566416039,5.5,5.5,5.5,76.0,-0.0266287737,11
pregnant,13,conservative,0,9,1,137,0.0,0.9927536231884058,0.0,0.9383561643835616,0.0,1.0,0.5958132045088567,5.5,5.5,5.5,76.0,-0.0266287737,11
pregnant,13,majority,0,9,0,138,0.0,1.0,0.0,0.9387755102040817,0.0,1.0,0.5958132045088567,5.5,5.5,5.5,76.0,-0.0266287737,11
pregnant,13,max_risk,0,9,1,137,0.0,0.9927536231884058,0.0,0.9383561643835616,0.0,1.0,0.5958132045088567,5.5,5.5,5.5,76.0,-0.0266287737,11
record,18,na,0,27,0,511,0.0,1.0,0.0,0.949814126394052,0.0,0.8966666666666666,0.5574400231934478,5.0,5.0,5.0,324.0,-0.0266287737,11
pregnant,18,conservative,0,30,0,117,0.0,1.0,0.0,0.7959183673469388,0.0,1.0,0.5643874643874645,5.0,5.0,5.0,324.0,-0.0266287737,11
pregnant,18,majority,0,30,0,117,0.0,1.0,0.0,0.7959183673469388,0.0,1.0,0.5643874643874645,5.0,5.0,5.0,324.0,-0.0266287737,11
pregnant,18,max_risk,0,30,0,117,0.0,1.0,0.0,0.7959183673469388,0.0,1.0,0.5643874643874645,5.0,5.0,5.0,324.0,-0.0266287737,11
record,21,na,0,6,2,530,0.0,0.9962406015037594,0.0,0.9888059701492538,0.0,0.8966666666666666,0.3859649122807018,3.0,2.5,3.0,72.0,-0.0266287737,11
pregnant,21,conservative,0,7,2,138,0.0,0.9857142857142858,0.0,0.9517241379310345,0.0,1.0,0.21836734693877552,3.0,2.5,3.0,72.0,-0.0266287737,11
pregnant,21,majority,0,7,0,140,0.0,1.0,0.0,0.9523809523809523,0.0,1.0,0.21836734693877552,3.0,2.5,3.0,72.0,-0.0266287737,11
pregnant,21,max_risk,0,7,2,138,0.0,0.9857142857142858,0.0,0.9517241379310345,0.0,1.0,0.21836734693877552,3.0,2.5,3.0,72.0,-0.0266287737,11
