ga,group,loss,t_star
11.5,G5,48.47341949856521,25.0
11.6,G5,48.07341949856521,25.0
11.7,G5,47.673419498565224,25.0
11.8,G5,47.27341949856521,25.0
11.9,G5,46.87341949856521,25.0
12.0,G5,46.47341949856521,25.0
12.1,G5,46.07341949856521,25.0
12.2,G5,45.673419498565224,25.0
12.3,G5,45.27341949856521,25.0
12.4,G5,44.87341949856521,25.0
12.5,G5,44.47341949856521,25.0
12.6,G5,44.07341949856521,25.0
12.7,G5,43.673419498565224,25.0
12.8,G5,43.27341949856521,25.0
12.9,G5,42.87341949856521,25.0
13.0,G5,42.47341949856521,25.0
13.1,G5,42.07341949856521,25.0
13.2,G5,41.673419498565224,25.0
13.3,G5,41.27341949856521,25.0
13.4,G5,40.87341949856521,25.0
13.5,G5,40.47341949856521,25.0
13.6,G5,40.07341949856521,25.0
13.7,G5,39.673419498565224,25.0
13.8,G5,39.27341949856521,25.0
13.9,G5,38.87341949856521,25.0
14.0,G5,38.47341949856521,25.0
14.1,G5,38.07341949856521,25.0
14.2,G5,37.673419498565224,25.0
14.3,G5,37.27341949856521,25.0
14.4,G5,36.87341949856521,25.0
14.5,G5,36.47341949856521,25.0
14.6,G5,36.07341949856521,25.0
14.7,G5,35.673419498565224,25.0
14.8,G5,35.27341949856521,25.0
14.9,G5,34.87341949856521,25.0
15.0,G5,34.47341949856521,25.0
15.1,G5,34.07341949856521,25.0
15.2,G5,33.67341949856522,25.0
15.3,G5,33.27341949856521,25.0
15.4,G5,32.87341949856521,25.0
15.5,G5,32.47341949856521,25.0
15.6,G5,32.07341949856521,25.0
15.7,G5,31.673419498565217,25.0
15.8,G5,31.27341949856521,25.0
15.9,G5,30.87341949856521,25.0
16.0,G5,30.47341949856521,25.0
16.1,G5,30.073419498565208,25.0
16.2,G5,29.673419498565217,25.0
16.3,G5,29.27341949856521,25.0
16.4,G5,28.87341949856522,25.0
16.5,G5,28.47341949856521,25.0
16.6,G5,28.073419498565208,25.0
16.7,G5,27.673419498565217,25.0
16.8,G5,27.27341949856521,25.0
16.9,G5,26.87341949856522,25.0
17.0,G5,26.47341949856521,25.0
17.1,G5,26.073419498565208,25.0
17.2,G5,25.673419498565217,25.0
17.3,G5,25.27341949856521,25.0
17.4,G5,24.87341949856522,25.0
17.5,G5,24.47341949856521,25.0
17.6,G5,24.073419498565208,25.0
17.7,G5,23.673419498565217,25.0
17.8,G5,23.27341949856521,25.0
17.9,G5,22.87341949856522,25.0
18.0,G5,22.473419498565214,25.0
18.1,G5,22.073419498565208,25.0
18.2,G5,21.673419498565217,25.0
18.3,G5,21.27341949856521,25.0
18.4,G5,20.87341949856522,25.0
18.5,G5,20.473419498565214,25.0
18.6,G5,20.073419498565208,25.0
18.7,G5,19.673419498565217,25.0
18.8,G5,19.27341949856521,25.0
18.9,G5,18.87341949856522,25.0
19.0,G5,18.473419498565214,25.0
19.1,G5,18.073419498565208,25.0
19.2,G5,17.673419498565217,25.0
19.3,G5,17.27341949856521,25.0
19.4,G5,16.87341949856522,25.0
19.5,G5,16.473419498565214,25.0
19.6,G5,16.073419498565208,25.0
19.7,G5,15.673419498565215,25.0
19.8,G5,15.27341949856521,25.0
19.9,G5,14.873419498565221,25.0
20.0,G5,14.473419498565216,25.0
20.1,G5,14.07341949856521,25.0
20.2,G5,13.673419498565215,25.0
20.3,G5,13.27341949856521,25.0
20.4,G5,12.873419498565221,25.0
20.5,G5,12.48582051240984,25.0
20.6,G5,12.098320512409833,25.0
20.7,G5,11.714900303356298,25.0
20.8,G5,11.339900303356293,25.0
20.9,G5,10.970876677537433,25.0
21.0,G5,10.608376677537429,25.0
21.1,G5,10.245933327710228,25.0
21.2,G5,9.895933327710235,25.0
21.3,G5,9.56112898657758,25.0
21.4,G5,9.236128986577587,25.0
